BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
Nonresidential COS,Other,2002,delridge,2,0,28531,20.333333333333332,127.5999985,3.25,Électricité & GazNaturel,Medium,Medium,
NonResidential,Warehouse,1982,delridge,2,0,36600,80.0,7.400000095,0.06,Électricité,Low,Low,80.0
NonResidential,Mixed Use Property,2004,southwest,5,0,35176,83.0,37.40000153,0.2,Électricité,Medium,Medium,
NonResidential,University,1940,lake union,2,15243,26050,37.666666666666664,73.0,1.49,Électricité & GazNaturel,Medium,Medium,
NonResidential,Warehouse,1941,greater duwamish,1,0,48890,49.0,47.40000153,1.26,Électricité & GazNaturel,Low,Low,49.0
NonResidential,Small- and Mid-Sized Office,2000,greater duwamish,3,0,43473,3.0,101.5999985,0.71,Électricité,Medium,Medium,3.0
NonResidential,Retail Store,1990,delridge,1,0,40265,19.0,92.30000305,0.88,Électricité,Medium,Medium,19.0
NonResidential,Retail Store,2005,delridge,1,0,26208,79.0,54.29999924,1.44,Électricité & GazNaturel,Medium,Medium,79.0
Nonresidential COS,Other,1975,delridge,2,0,27227,37.0,217.5,10.54,GazNaturel & Électricité,High,High,
NonResidential,Mixed Use Property,1926,ballard,1,0,42172,39.666666666666664,87.40000153,3.61,GazNaturel,Low,Low,
NonResidential,Small- and Mid-Sized Office,1910,downtown,5,0,32250,92.0,26.89999962,0.35,Électricité,Medium,Medium,92.0
NonResidential,Retail Store,1953,northwest,1,0,51000,95.0,26.10000038,0.28,Électricité,Medium,Medium,95.0
NonResidential,Mixed Use Property,1916,greater duwamish,1,0,27000,98.0,9.199999809,0.06,Électricité,Medium,Medium,
NonResidential,Other,1935,greater duwamish,2,0,20747,63.666666666666664,50.70000076,0.84,Électricité,Medium,Medium,
NonResidential,Warehouse,1928,greater duwamish,2,0,40800,86.0,22.79999924,0.68,GazNaturel & Électricité,Low,Low,
NonResidential,Small- and Mid-Sized Office,1920,greater duwamish,2,0,20150,80.0,29.39999962,0.2,Électricité,Medium,Medium,80.0
NonResidential,Small- and Mid-Sized Office,1909,downtown,7,0,36000,40.0,53.40000153,0.33,Électricité,Medium,Medium,40.0
NonResidential,Warehouse,1938,greater duwamish,2,0,41276,13.666666666666666,69.80000305,2.34,GazNaturel & Électricité,Low,Low,
NonResidential,Refrigerated Warehouse,1937,greater duwamish,2,0,24430,74.66666666666667,53.29999924,0.97,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1927,greater duwamish,1,0,22580,90.0,41.5,0.43,Électricité,Medium,Medium,90.0
NonResidential,Warehouse,1926,central,1,0,20000,18.0,43.90000153,1.68,GazNaturel,Low,Low,18.0
NonResidential,Warehouse,1954,central,1,0,42000,41.333333333333336,54.70000076,1.95,GazNaturel,Low,Low,
NonResidential,Self-Storage Facility,1962,central,1,0,24248,90.66666666666667,5.699999809,0.03,Électricité,Low,Low,
NonResidential,Senior Care Community,2009,north,6,0,244500,100.0,46.29999924,1.2,Électricité & GazNaturel,High,High,100.0
NonResidential,Warehouse,1932,greater duwamish,1,0,24617,90.66666666666667,4.800000191,0.03,Électricité,Low,Low,
NonResidential,Other,2009,greater duwamish,3,84710,42355,52.0,79.40000153,0.18,Électricité,Medium,Medium,
NonResidential,Retail Store,1964,greater duwamish,1,0,37247,69.0,53.40000153,1.57,GazNaturel & Électricité,Medium,Medium,69.0
NonResidential,Retail Store,1993,ballard,1,0,25384,11.0,136.6999969,3.04,Électricité & GazNaturel,Medium,Medium,11.0
NonResidential,Small- and Mid-Sized Office,1910,greater duwamish,3,0,49052,96.0,34.0,0.2,Électricité,Medium,Medium,96.0
NonResidential,Warehouse,1900,greater duwamish,2,0,52110,34.0,21.0,0.48,GazNaturel,Low,Low,34.0
NonResidential,Small- and Mid-Sized Office,1937,greater duwamish,2,0,39036,80.33333333333333,39.59999847,1.01,Électricité & GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1923,greater duwamish,1,0,26310,96.0,24.79999924,0.57,Électricité,Medium,Medium,96.0
NonResidential,Retail Store,1966,southeast,1,0,37883,88.0,240.3000031,10.9,GazNaturel & Électricité,Medium,Medium,88.0
NonResidential,K-12 School,1962,delridge,3,0,29874,95.0,47.09999847,1.82,GazNaturel,Low,Low,95.0
NonResidential,Worship Facility,1965,magnolia / queen anne,1,0,20140,35.0,52.90000153,2.34,GazNaturel,Low,Low,35.0
NonResidential,Self-Storage Facility,1990,northwest,2,31389,40485,70.66666666666667,19.39999962,0.63,GazNaturel & Électricité,Low,Low,
NonResidential,Small- and Mid-Sized Office,1971,central,2,0,39953,93.0,53.5,0.7,Électricité,Medium,Medium,93.0
NonResidential,Retail Store,1998,central,2,0,21200,15.0,78.0,0.55,Électricité,Medium,Medium,15.0
NonResidential,Supermarket / Grocery Store,1980,central,1,0,30630,27.0,200.3999939,1.38,Électricité,High,High,27.0
NonResidential,Retail Store,1980,central,2,0,23421,25.0,83.5,0.56,Électricité,Medium,Medium,25.0
SPS-District K-12,K-12 School,1931,ballard,3,0,117116,83.0,55.5,2.19,GazNaturel,Low,Low,83.0
NonResidential,Worship Facility,1928,ballard,2,0,24120,66.0,42.5,1.31,GazNaturel & Électricité,Low,Low,66.0
NonResidential,Worship Facility,1929,ballard,3,0,35736,88.0,37.59999847,1.43,GazNaturel,Low,Low,88.0
NonResidential,Warehouse,1941,greater duwamish,1,0,51050,10.0,27.39999962,0.54,Électricité & GazNaturel,Low,Low,10.0
NonResidential,Retail Store,1954,greater duwamish,2,0,21900,40.0,65.69999695,1.95,GazNaturel & Électricité,Medium,Medium,40.0
NonResidential,Distribution Center,1952,greater duwamish,1,0,16300,100.0,2.299999952,0.1,Électricité,Low,Low,100.0
NonResidential,Warehouse,1964,greater duwamish,1,0,33462,1.0,41.40000153,0.29,Électricité,Low,Low,1.0
NonResidential,Mixed Use Property,1952,greater duwamish,1,0,35310,70.0,52.0,1.27,GazNaturel & Électricité,Medium,Medium,
NonResidential,Other,1962,greater duwamish,3,0,36140,2.0,134.0,0.9,Électricité,Medium,Medium,
NonResidential,Other,1991,downtown,2,21384,26579,50.666666666666664,277.5,6.23,GazNaturel & Électricité,High,High,
NonResidential,Warehouse,1930,downtown,1,0,23903,65.0,21.29999924,0.6,GazNaturel & Électricité,Low,Low,65.0
NonResidential,Self-Storage Facility,1947,northeast,3,0,22522,91.66666666666667,28.0,1.04,GazNaturel,Low,Low,
NonResidential,Self-Storage Facility,1996,northeast,4,0,38959,92.66666666666667,24.70000076,0.61,Électricité & GazNaturel,Low,Low,
NonResidential,Warehouse,1928,greater duwamish,2,0,25955,19.333333333333332,46.90000153,0.33,Électricité,Low,Low,
Campus,K-12 School,1923,east,4,0,46100,75.0,52.29999924,1.7,Mixte,Low,Low,75.0
NonResidential,Worship Facility,1951,northwest,2,0,21936,96.0,31.29999924,1.31,GazNaturel,Low,Low,96.0
NonResidential,Other,1960,north,1,0,25406,19.333333333333332,97.80000305,1.65,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1967,southeast,2,0,23250,55.0,40.40000153,0.27,Électricité,Medium,Medium,55.0
NonResidential,Warehouse,1960,greater duwamish,1,0,30000,32.0,108.1999969,4.02,GazNaturel,Low,Low,32.0
Nonresidential COS,Warehouse,1962,greater duwamish,1,0,45036,74.0,47.40000153,1.1,Électricité & GazNaturel,Low,Low,
NonResidential,Mixed Use Property,2009,downtown,39,112124,962428,65.0,43.79999924,0.42,Électricité,Medium,Medium,65.0
NonResidential,University,1959,magnolia / queen anne,2,0,122679,47.0,170.8999939,4.8,GazNaturel & Électricité,Medium,Medium,
Campus,University,1945,magnolia / queen anne,2,0,537000,59.666666666666664,181.3000031,7.02,GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1980,north,4,0,23022,78.0,46.70000076,0.64,Électricité,Medium,Medium,78.0
NonResidential,Refrigerated Warehouse,1967,greater duwamish,1,0,27263,22.0,88.5,0.63,Électricité,Medium,Medium,
NonResidential,Warehouse,1962,greater duwamish,1,0,31569,12.0,101.4000015,3.98,GazNaturel,Low,Low,12.0
NonResidential,Warehouse,1956,greater duwamish,1,0,22509,57.0,7.900000095,0.06,Électricité,Low,Low,57.0
NonResidential,Warehouse,1956,greater duwamish,1,0,39984,75.0,29.10000038,0.92,GazNaturel & Électricité,Low,Low,75.0
NonResidential,Worship Facility,1906,east,1,0,26440,91.0,31.29999924,1.06,GazNaturel & Électricité,Low,Low,91.0
NonResidential,Self-Storage Facility,1956,greater duwamish,2,0,28800,48.666666666666664,44.0,1.02,Électricité & GazNaturel,Low,Low,
NonResidential,K-12 School,2009,central,2,0,28500,92.0,41.79999924,1.0,Électricité & GazNaturel,Low,Low,92.0
NonResidential,Restaurant,1978,lake union,2,0,26519,43.333333333333336,140.1999969,3.67,Électricité & GazNaturel,High,High,
NonResidential,Mixed Use Property,1988,lake union,2,15402,19237,25.333333333333332,370.8999939,14.89,GazNaturel & Électricité,High,High,
NonResidential,Other,1921,magnolia / queen anne,2,0,26300,26.0,141.1000061,4.45,GazNaturel & Électricité,Medium,Medium,
NonResidential,Restaurant,1962,lake union,2,0,34072,43.666666666666664,205.6999969,6.66,GazNaturel & Électricité,High,High,
NonResidential,Small- and Mid-Sized Office,1949,lake union,3,0,23355,77.0,38.40000153,0.25,Électricité,Medium,Medium,77.0
